state,avgCoveredCharges,averagePayments
AK,54957,21009
AL,43657,10470
AR,33459,10641
AZ,56156,12935
CA,88197,15201
CO,55880,11812
CT,40189,14834
DC,59230,14916
DE,32597,13199
FL,62599,11419
GA,43346,11587
HI,39027,16434
IA,35552,11140
ID,32502,11618
IL,50462,12385
IN,41342,11483
KS,41376,11321
KY,36810,11509
LA,45151,11427
MA,34898,14569
MD,18512,17419
ME,31415,12288
MI,34665,12956
MN,38413,12843
MO,41557,11401
MS,39694,11495
MT,31771,11728
NC,36549,12287
ND,29608,11955
NE,38153,12156
NH,37454,12948
NJ,69604,13532
NM,44226,13352
NV,70003,12497
NY,44953,15635
OH,39606,11457
OK,41456,11190
OR,40170,13192
PA,51161,12050
RI,37463,13812
SC,51948,11885
SD,37215,12728
TN,42601,11072
TX,55186,11865
UT,34051,11922
VA,42571,11742
VT,31728,15967
WA,48552,13275
WI,35972,12151
WV,30759,11523
WY,45398,15114
