state,avgCoveredCharges,averagePayments
AK,26973,8772
AL,22401,4740
AR,15028,4813
AZ,25621,5721
CA,42438,6978
CO,25220,5189
CT,21952,6692
DC,31375,7915
DE,15938,5999
FL,28580,5183
GA,20289,5383
HI,21614,7831
IA,17007,5213
ID,14160,5345
IL,24632,5882
IN,18350,5188
KS,22692,5073
KY,20791,5319
LA,19215,5315
MA,17699,6528
MD,8179,7720
ME,13016,5469
MI,16037,5842
MN,19633,5922
MO,20660,5231
MS,19515,4963
MT,12348,5203
NC,16936,5642
ND,11534,5276
NE,18931,5652
NH,19240,5831
NJ,45063,6173
NM,19190,6262
NV,34628,6160
NY,24933,7235
OH,20677,5286
OK,19019,5139
OR,15265,6050
PA,28288,5649
RI,21225,6623
SC,21829,5374
SD,15905,5658
TN,19590,5007
TX,28468,5476
UT,15446,5449
VA,19084,5409
VT,16031,7282
WA,22533,5833
WI,17646,5553
WV,13951,5203
WY,17350,6221
