state,avgCoveredCharges,averagePayments
AK,65093,25952
AL,59954,13580
AR,42898,13634
AZ,70477,16231
CA,120888,21006
CO,72724,15637
CT,60321,19466
DC,69937,20888
DE,46688,17780
FL,73093,14633
GA,52482,14739
HI,55233,20526
IA,47645,14831
ID,43014,15997
IL,64580,16645
IN,46471,14833
KS,62213,14914
KY,43386,14679
LA,55174,14638
MA,39531,18650
MD,23044,21694
ME,44205,16960
MI,44210,16708
MN,57179,18116
MO,56820,14890
MS,53819,14418
MT,43976,14557
NC,45134,16101
ND,37505,14740
NE,57319,15649
NH,48539,16406
NJ,106179,17343
NM,54796,17699
NV,112122,16850
NY,53629,20887
OH,49977,14939
OK,54370,14604
OR,52579,16842
PA,74959,16074
RI,58850,20615
SC,63979,15389
SD,58384,16537
TN,51409,14090
TX,70898,15222
UT,44035,16419
VA,51609,15311
VT,36140,20769
WA,60778,16998
WI,49203,17345
WV,36399,14359
WY,50962,18388
