state,avgCoveredCharges,averagePayments
AL,20246,5159
AR,13806,5032
AZ,24857,5644
CA,47094,7271
CO,25180,5854
CT,19361,7100
DC,20582,7494
DE,14782,6232
FL,28529,5448
GA,19527,5348
HI,29618,8142
IA,15396,5082
ID,18074,6174
IL,23477,6355
IN,15733,5739
KS,20395,5225
KY,15056,5287
LA,21572,5310
MA,11891,6592
MD,8569,8089
ME,14033,5509
MI,15490,6126
MN,19591,5837
MO,17183,5342
MS,18293,5060
MT,10946,5197
NC,15255,5911
NE,20897,5522
NH,15499,5628
NJ,44543,6394
NM,18416,5829
NV,35897,5914
NY,23060,8106
OH,16788,5543
OK,23779,5697
OR,18659,6360
PA,29111,5893
RI,19756,7002
SC,24015,5536
SD,19420,5611
TN,17395,5186
TX,28949,5703
UT,12060,5394
VA,17068,5290
VT,11095,7250
WA,20420,6005
WI,16495,6189
WV,12376,5076
WY,20807,7340
