state,avgCoveredCharges,averagePayments
AL,31381,6930
AR,25413,7064
AZ,35386,8109
CA,55741,10484
CO,33717,7884
CT,27299,10030
DC,29895,10846
DE,24522,10983
FL,40249,7687
GA,27355,7627
HI,21049,10297
IA,24297,7479
ID,25136,9345
IL,31275,8509
IN,25443,8005
KS,31588,7800
KY,25398,7578
LA,29219,7495
MA,19186,9654
MD,11929,11234
ME,20783,8797
MI,22272,8677
MN,26352,9054
MO,25614,7689
MS,26395,7524
MT,20744,7942
NC,22492,8308
ND,18184,7668
NE,28779,8002
NH,21430,8044
NJ,58121,8866
NM,26201,9189
NV,52634,8678
NY,31584,11035
OH,26483,7929
OK,30172,7532
OR,21716,8915
PA,40947,8470
RI,31551,10193
SC,32846,8100
SD,30338,8591
TN,26619,7338
TX,38931,8131
UT,22892,8645
VA,26117,7657
VT,15867,10502
WA,31299,9120
WI,24851,9520
WV,19325,7172
WY,19045,8564
