state,avgCoveredCharges,averagePayments
AK,32060,11119
AL,21318,5913
AR,17465,5859
AZ,28534,7013
CA,47265,8831
CO,27517,6762
CT,23261,8225
DC,25439,9102
DE,17017,7401
FL,30027,6310
GA,19587,6482
HI,23701,9405
IA,16806,6239
ID,16747,6461
IL,24443,7163
IN,18988,6328
KS,22644,6089
KY,16913,6315
LA,20638,6262
MA,15544,7997
MD,9471,8916
ME,15313,6810
MI,17110,7317
MN,19497,7303
MO,21078,6410
MS,20890,6135
MT,14254,6439
NC,16617,6986
ND,11301,6418
NE,21193,6633
NH,17963,6717
NJ,52684,7674
NM,22253,7098
NV,40882,7230
NY,26912,9027
OH,20118,6456
OK,20023,6322
OR,18042,7282
PA,29163,6918
RI,21321,7724
SC,23914,6628
SD,20249,6951
TN,19150,6090
TX,29856,6716
UT,17471,6803
VA,18524,6409
VT,14469,8825
WA,22674,7340
WI,18193,6800
WV,13518,6064
WY,18591,8826
