state,avgCoveredCharges,averagePayments
AL,17427,3888
AR,11316,4055
AZ,19321,4347
CA,34982,5448
CO,16946,4328
CT,15890,5463
DC,14783,5461
DE,13050,4645
FL,21361,4188
GA,14810,4436
IA,12090,4140
ID,9584,3989
IL,16259,4544
IN,13582,4110
KS,17681,3908
KY,11850,3982
LA,14437,4034
MA,10608,5236
MD,6303,5940
ME,11380,4273
MI,11741,4777
MN,13574,4826
MO,14171,4257
MS,13880,4050
MT,8688,4104
NC,11357,4583
ND,6537,4211
NE,15967,4446
NH,11619,4695
NJ,34490,4989
NM,16284,4556
NV,30445,4656
NY,18806,5953
OH,13320,4295
OK,15059,4110
OR,11135,5550
PA,22494,4750
RI,16495,5691
SC,18359,4138
SD,16275,5023
TN,12630,3963
TX,20093,4344
UT,11510,4915
VA,14169,4300
VT,9844,6294
WA,16928,4767
WI,12502,4424
WV,9317,4108
WY,12669,5736
