state,avgCoveredCharges,averagePayments
AK,21222,6809
AL,14866,4004
AR,12542,3972
AZ,21637,4861
CA,35628,6112
CO,21122,4592
CT,17579,5795
DC,19792,6473
DE,13784,5296
FL,22613,4291
GA,17066,4443
HI,21076,6045
IA,13487,4375
ID,10914,4181
IL,18649,4973
IN,15957,4421
KS,18734,4125
KY,13892,4372
LA,16744,4242
MA,11667,5423
MD,7277,6865
ME,11065,4614
MI,13041,5008
MN,15886,5190
MO,16575,4365
MS,16085,4122
MT,11494,4345
NC,13822,4799
ND,9856,4418
NE,14968,4420
NH,15799,4540
NJ,36661,5269
NM,14640,5287
NV,29734,4871
NY,18747,6160
OH,14688,4442
OK,14680,4206
OR,13670,5017
PA,24920,5242
RI,16546,5676
SC,19115,4489
SD,17806,4894
TN,15457,4193
TX,21891,4614
UT,13509,4765
VA,15097,4461
VT,13475,6424
WA,19473,5209
WI,15001,4781
WV,10973,4245
WY,12830,6304
