state,avgCoveredCharges,averagePayments
AK,29566,10849
AL,25143,6001
AR,18999,6047
AZ,27218,7010
CA,48439,8967
CO,28838,6755
CT,22174,8399
DC,25402,9053
DE,17539,7335
FL,31773,6342
GA,20836,6507
HI,22247,9611
IA,16911,6278
ID,16551,6570
IL,24747,7044
IN,19772,6516
KS,23627,6288
KY,16969,6346
LA,22786,6275
MA,14101,7793
MD,9262,8724
ME,15297,6784
MI,16644,7327
MN,19713,7345
MO,21181,6298
MS,22099,6198
MT,14985,6417
NC,16705,6949
ND,12207,6567
NE,21735,6612
NH,18183,6872
NJ,52443,7686
NM,22553,7207
NV,44532,7535
NY,27774,9221
OH,20095,6487
OK,21220,6390
OR,17913,7510
PA,29333,7034
RI,21210,8030
SC,24367,6649
SD,23317,7475
TN,19625,6067
TX,29456,6717
UT,16834,6731
VA,19940,6384
VT,13149,8768
WA,23090,7310
WI,18346,6871
WV,13699,6153
WY,18717,8934
