state,avgCoveredCharges,averagePayments
AK,56689,21009
AL,47482,11181
AR,31667,11118
AZ,52853,13594
CA,90122,16747
CO,57768,13090
CT,42041,15726
DC,54713,17738
DE,34075,14025
FL,62484,12161
GA,41116,12225
HI,43436,17002
IA,32614,11654
ID,30837,12841
IL,48201,13223
IN,35052,12033
KS,45243,12022
KY,34004,11802
LA,43898,11975
MA,27269,14585
MD,18739,17661
ME,30707,13381
MI,31268,13308
MN,38306,13889
MO,41930,11968
MS,44389,11997
MT,30614,12632
NC,32059,12838
ND,28727,12394
NE,44748,12923
NH,32768,12439
NJ,88530,14676
NM,40444,14331
NV,83519,13541
NY,47466,17322
OH,39192,12220
OK,41402,11891
OR,34559,13707
PA,50114,12705
RI,39819,14491
SC,47649,12850
SD,48931,14819
TN,38065,11398
TX,55266,12616
UT,30053,12205
VA,36847,12110
VT,25735,15743
WA,42650,13695
WI,34272,13072
WV,30150,12053
WY,38710,17416
