state,avgCoveredCharges,averagePayments
AK,21122,7681
AL,19168,4852
AR,14900,4898
AZ,23739,5944
CA,38874,7469
CO,20883,5573
CT,19434,6979
DC,21544,7576
DE,15334,6131
FL,26997,5355
GA,17959,5418
HI,17379,7099
IA,13724,4958
ID,13335,5369
IL,21008,6163
IN,16769,5326
KS,19480,5338
KY,14320,5248
LA,18472,5270
MA,12197,6605
MD,8011,7556
ME,13827,5527
MI,14551,6076
MN,17701,6226
MO,17711,5388
MS,16844,5045
MT,12842,5157
NC,14802,5742
ND,10204,5566
NE,18027,5470
NH,13652,5411
NJ,45234,6470
NM,18426,6079
NV,39030,6099
NY,22558,8117
OH,17034,5364
OK,18901,5302
OR,14561,6158
PA,27059,5943
RI,19723,6668
SC,21337,5568
SD,18189,5880
TN,17403,5111
TX,25461,5703
UT,13082,6144
VA,16675,5442
VT,14505,7107
WA,19500,6084
WI,17655,6009
WV,12547,5103
WY,16048,7085
