state,avgCoveredCharges,averagePayments
AK,31858,8799
AL,24311,5341
AR,16841,6059
AZ,28741,6416
CA,45639,8555
CO,25473,6069
CT,24671,7990
DC,28468,8792
DE,18125,7337
FL,26941,5774
GA,19316,6333
HI,27601,9585
IA,17371,6085
ID,15238,5410
IL,22185,6366
IN,17801,6062
KS,26804,5899
KY,17254,6077
LA,20563,5993
MA,16358,7647
MD,11246,10593
ME,18683,6939
MI,15305,6698
MN,21161,6830
MO,18442,5858
MS,19667,5938
MT,19375,6298
NC,18880,6931
ND,15474,5746
NE,17331,5900
NH,17931,6134
NJ,45211,6988
NM,21191,7512
NV,47524,6678
NY,28514,9062
OH,18085,5977
OK,21588,5813
OR,21791,8113
PA,29684,6655
RI,25142,7330
SC,24237,6345
SD,18765,6348
TN,21528,5762
TX,29257,6351
UT,22005,8344
VA,19236,6159
VT,18529,9988
WA,22460,6646
WI,17786,6652
WV,13894,5686
WY,16100,8140
