state,avgCoveredCharges,averagePayments
AK,49669,19648
AL,45562,11295
AR,31614,10900
AZ,46919,13032
CA,95326,17327
CO,57286,12763
CT,46661,16241
DC,63280,17980
DE,32748,14355
FL,58736,12157
GA,42912,12604
HI,46881,16912
IA,32824,11990
ID,25043,11856
IL,48704,13179
IN,34658,11956
KS,45431,11403
KY,38268,12753
LA,47052,12236
MA,33644,15511
MD,18485,17395
ME,28330,13029
MI,32645,13419
MN,36906,13761
MO,40880,11994
MS,39280,11774
MT,24631,12181
NC,33640,13385
ND,25664,11857
NE,39603,12941
NH,28128,12542
NJ,92372,14490
NM,43286,15421
NV,82942,13363
NY,55434,18455
OH,42642,12684
OK,43780,11804
OR,37246,13998
PA,59762,13212
RI,45348,16609
SC,48430,13435
SD,39455,13417
TN,39630,11487
TX,58647,12879
UT,30722,13489
VA,35480,12363
VT,24603,16956
WA,41719,13528
WI,35548,13322
WV,31271,12914
WY,40289,16400
