state,avgCoveredCharges,averagePayments
AK,107851,55568
AL,159864,31972
AR,97648,31357
AZ,152323,37303
CA,262024,48700
CO,205441,40321
CT,140812,45829
DC,159064,49004
DE,90974,39271
FL,157572,34657
GA,123347,35973
HI,129424,45292
IA,115843,35960
ID,109765,41640
IL,132631,38085
IN,101226,34572
KS,160198,38422
KY,96467,33223
LA,127408,32425
MA,96443,44222
MD,51198,48185
ME,102909,41044
MI,95044,39526
MN,145171,46215
MO,130623,35340
MS,122134,35203
MT,69458,31075
NC,93754,36776
ND,80546,34342
NE,109735,32969
NH,132200,44383
NJ,230625,39086
NM,124745,32001
NV,229997,38614
NY,122124,51777
OH,109968,34189
OK,124878,34633
OR,122796,46549
PA,188023,38405
RI,118172,40186
SC,139190,37412
SD,132470,46709
TN,114067,33224
TX,155606,33988
UT,99523,41634
VA,118211,37165
VT,78371,45951
WA,148788,42822
WI,131760,42794
WV,77185,33155
