state,avgCoveredCharges,averagePayments
AK,43500,8278
AL,21746,5783
AR,17399,5599
AZ,26433,6705
CA,46464,8334
CO,26238,6053
CT,22879,8337
DC,24480,8814
DE,17952,7441
FL,29331,6086
GA,19380,6413
HI,26397,9814
IA,16807,6124
ID,17134,6652
IL,23347,6909
IN,19298,6521
KS,21131,5829
KY,16046,5910
LA,22745,5925
MA,15504,7834
MD,9500,8949
ME,15379,6765
MI,16646,7083
MN,19077,7079
MO,19740,5947
MS,18324,6105
MT,10751,5873
NC,16496,6846
ND,10329,6364
NE,17324,6076
NH,15040,6866
NJ,48224,7309
NM,19064,6557
NV,39770,6690
NY,28607,9257
OH,18587,6197
OK,21404,6059
OR,18432,7390
PA,28031,6643
RI,22048,7752
SC,22679,6274
SD,18378,6588
TN,18056,5865
TX,26933,6471
UT,13610,6345
VA,19498,6264
VT,14512,8701
WA,23720,7156
WI,18708,6819
WV,13396,5969
WY,22114,10551
