state,avgCoveredCharges,averagePayments
AK,28922,8859
AL,24856,5652
AR,15984,5531
AZ,30496,7110
CA,57529,8621
CO,35844,6951
CT,26143,8274
DC,27665,7760
DE,16459,7667
FL,41054,6295
GA,28193,6634
HI,22420,8023
IA,18753,5923
ID,18026,6512
IL,31210,7409
IN,25753,6600
KS,25554,6008
KY,22070,6363
LA,25625,6320
MA,22809,8141
MD,10728,10169
ME,12775,6537
MI,18019,7117
MN,22652,7382
MO,25750,6222
MS,35370,6471
MT,18649,6537
NC,22983,6763
ND,13841,6914
NE,24689,6698
NH,25476,7285
NJ,38141,7334
NM,21169,7533
NV,35749,7003
NY,26629,9363
OH,25577,6463
OK,22914,5891
OR,19694,7256
PA,29507,6877
RI,22706,8556
SC,32683,6908
SD,26308,6550
TN,23018,6260
TX,31687,6679
UT,16245,6853
VA,26397,6948
VT,17339,9325
WA,28115,7349
WI,22763,6704
WV,19028,6925
WY,40992,7254
