state,avgCoveredCharges,averagePayments
AL,27761,6374
AR,16570,5827
AZ,24755,6917
CA,51984,9172
CO,32444,6818
CT,22129,8219
DC,31791,9375
DE,20187,7325
FL,30292,6322
GA,19554,6592
HI,26554,10019
IA,20406,7149
ID,18957,6232
IL,25994,7292
IN,21942,6744
KS,30225,7091
KY,18111,6228
LA,27038,6580
MA,19359,8410
MD,10013,9444
ME,14257,6764
MI,17951,7268
MN,22156,7806
MO,21549,6325
MS,21231,6073
NC,19173,7357
ND,11195,6211
NE,24144,6750
NH,17093,6438
NJ,48732,7241
NM,20782,6953
NV,37767,6728
NY,27648,9190
OH,23686,6665
OK,30084,6595
OR,18954,9595
PA,36429,7328
RI,38435,9985
SC,26318,6637
SD,26696,6036
TN,20433,6142
TX,30977,6795
UT,24377,8522
VA,24848,7690
VT,15320,24527
WA,25219,7401
WI,22326,7874
WV,12132,6076
