state,avgCoveredCharges,averagePayments
AK,190710,61301
AL,157530,36520
AR,101679,35220
AZ,165000,43504
CA,277153,53048
CO,193555,45664
CT,153553,52100
DC,152433,52222
DE,102026,48588
FL,181537,39562
GA,138586,41504
IA,103960,41341
ID,117492,46131
IL,136191,41173
IN,126614,42580
KS,204650,47309
KY,122770,41141
LA,138300,36884
MA,103425,49815
MD,51254,48209
ME,107928,45312
MI,104081,42908
MN,156560,49451
MO,146396,40110
MS,135656,37907
NC,109177,42735
ND,93062,39846
NE,117779,37430
NH,136600,51634
NJ,230224,44203
NM,118743,44783
NV,239589,40425
NY,126634,59441
OH,131326,40374
OK,157831,40178
OR,148555,49752
PA,201554,42480
RI,145727,46361
SC,158270,39562
SD,180909,47733
TN,124697,37659
TX,170172,39538
UT,105622,44923
VA,129339,41249
VT,80805,52761
WA,159579,49178
WI,132193,46809
WV,92185,39608
