state,avgCoveredCharges,averagePayments
AK,23905,6546
AL,17526,4200
AR,15348,4495
AZ,23748,4854
CA,36987,6233
CO,22065,4800
CT,17349,5919
DC,18488,6557
DE,14004,5339
FL,25778,4531
GA,18313,4627
HI,19327,6166
IA,14006,4339
ID,11789,4630
IL,19781,5089
IN,15281,4633
KS,21186,4353
KY,14708,4466
LA,17947,4506
MA,10915,5557
MD,6616,6242
ME,12003,4779
MI,13390,5119
MN,13929,5101
MO,17367,4474
MS,19098,4340
MT,10518,4512
NC,14967,4973
ND,10271,4767
NE,16920,4930
NH,15079,4911
NJ,40180,5402
NM,18060,5061
NV,31952,5064
NY,19174,6619
OH,16283,4578
OK,16438,4422
OR,13407,5253
PA,23856,4892
RI,17849,5828
SC,19835,4648
SD,15267,5194
TN,17657,4362
TX,26216,4784
UT,14129,4988
VA,15506,4539
VT,10641,6049
WA,18489,5200
WI,15566,4906
WV,11188,4415
WY,15869,6106
