state,avgCoveredCharges,averagePayments
AK,81855,20250
AL,61973,11232
AR,46597,11289
AZ,74755,14310
CA,102086,16769
CO,76055,13955
CT,55578,17686
DC,64079,16252
DE,51193,15445
FL,77938,12671
GA,53487,13057
HI,50618,17416
IA,47353,12273
ID,46565,13118
IL,65705,14834
IN,52978,13064
KS,56790,12521
KY,46589,12592
LA,69459,13367
MA,46217,17742
MD,16839,15903
ME,47218,15532
MI,44975,14008
MN,48814,14629
MO,51374,12306
MS,60713,12853
MT,45386,13541
NC,58820,13946
ND,43438,13411
NE,57833,13581
NH,53869,15625
NJ,90312,15594
NM,58119,14581
NV,94850,14009
NY,47696,18202
OH,53681,13355
OK,65409,13195
OR,42821,14007
PA,73766,13722
RI,89856,15886
SC,70105,13527
SD,40632,31141
TN,56956,12982
TX,75722,13471
UT,43613,13840
VA,62066,14262
VT,38524,18615
WA,67630,15228
WI,51319,14028
WV,41116,12246
WY,54731,17302
