state,avgCoveredCharges,averagePayments
AK,78938,23134
AL,66046,14817
AR,55603,15330
AZ,73134,17604
CA,107281,22071
CO,78179,16591
CT,55408,20625
DC,72724,22170
DE,53102,18994
FL,77310,15920
GA,54797,16690
HI,53533,24444
IA,48590,15767
ID,46334,15835
IL,69805,18120
IN,55682,16226
KS,57098,15703
KY,55675,16098
LA,64553,15652
MA,50350,21721
MD,26453,24882
ME,49237,18407
MI,51803,18463
MN,55870,18959
MO,56754,16053
MS,52252,16213
MT,45980,17148
NC,57481,18672
ND,37821,16740
NE,49167,16519
NH,46540,18686
NJ,102205,19049
NM,56717,16505
NV,97100,18212
NY,63474,22092
OH,57563,16997
OK,70072,15836
OR,44741,18247
PA,80782,17545
RI,53607,18654
SC,72412,17402
SD,44928,17500
TN,59871,16684
TX,76114,17081
UT,47695,17444
VA,57978,17416
VT,41072,22533
WA,63188,18702
WI,53617,18546
WV,39675,16100
WY,65012,22933
