state,avgCoveredCharges,averagePayments
AK,30534,10800
AL,28888,7187
AR,22572,7242
AZ,33961,8346
CA,59369,10810
CO,37394,8140
CT,30562,10269
DC,41004,12496
DE,23108,9119
FL,36407,7709
GA,27665,7924
HI,28585,10469
IA,20085,7436
ID,22501,8491
IL,31273,8519
IN,24118,7890
KS,27449,7468
KY,23396,7874
LA,30959,7872
MA,18415,9696
MD,12637,11893
ME,18474,8458
MI,22828,8957
MN,26896,9118
MO,25800,7799
MS,25698,7700
MT,18691,7965
NC,22422,8780
ND,15726,7959
NE,26283,8240
NH,21240,8630
NJ,62994,9317
NM,28972,8836
NV,59054,10053
NY,34476,11180
OH,26353,8045
OK,26832,7697
OR,23996,9194
PA,36008,8468
RI,25418,9327
SC,33087,8267
SD,21525,8013
TN,25814,7544
TX,39117,8276
UT,20978,8652
VA,24425,7960
VT,17375,11315
WA,28223,9007
WI,23140,8548
WV,18920,7620
WY,36320,12830
