state,avgCoveredCharges,averagePayments
AK,30500,8584
AL,26896,5937
AR,17766,6059
AZ,27363,6769
CA,49604,8812
CO,28114,6766
CT,22504,8385
DC,23957,8806
DE,17719,7532
FL,33317,6341
GA,22431,6503
HI,24619,9106
IA,18871,6435
ID,16392,6181
IL,25234,7153
IN,21103,6533
KS,25729,6323
KY,18547,6404
LA,23688,6396
MA,16291,8089
MD,9481,8943
ME,15645,6668
MI,18702,7288
MN,20663,7825
MO,21153,6178
MS,23497,6064
MT,14472,6268
NC,18330,7138
ND,10920,6346
NE,25376,6763
NH,17989,6900
NJ,46769,7398
NM,23843,7185
NV,39186,7206
NY,26025,9109
OH,20619,6426
OK,24491,6471
OR,19848,7233
PA,29869,6973
RI,21292,7629
SC,27813,6896
SD,23931,6734
TN,20672,6110
TX,31108,6860
UT,16626,6840
VA,21528,6787
VT,15313,8895
WA,24809,7735
WI,21098,7082
WV,14413,6090
WY,21896,8475
