state,avgCoveredCharges,averagePayments
AK,74436,20419
AL,42426,10354
AR,34461,10335
AZ,48368,12161
CA,80936,15696
CO,45134,11658
CT,43378,14645
DC,51039,16693
DE,31386,13612
FL,54357,11119
GA,39029,11652
HI,36583,14700
IA,32007,11147
ID,30511,12486
IL,45373,12466
IN,36915,11958
KS,50048,11100
KY,33270,11336
LA,41483,10967
MA,27685,13824
MD,16664,15702
ME,26472,12346
MI,31819,12773
MN,45957,15074
MO,40567,11201
MS,38439,10974
MT,33204,12358
NC,30201,12281
ND,23255,11095
NE,41311,12293
NH,32200,12556
NJ,82647,13270
NM,35520,12956
NV,82389,12970
NY,50004,16938
OH,38970,11508
OK,39954,11091
OR,34049,12809
PA,56055,12195
RI,43215,14394
SC,41450,11750
SD,38279,12355
TN,35913,10628
TX,52594,11790
UT,26733,12034
VA,33327,11053
VT,31983,17320
WA,40443,12983
WI,33990,12840
WV,29334,11046
WY,39365,14591
