state,avgCoveredCharges,averagePayments
AK,149573,65351
AL,141237,31717
AR,102329,31673
AZ,144762,37510
CA,258767,49384
CO,134164,34875
CT,113178,42390
DC,153583,48487
DE,90078,40346
FL,165071,34049
GA,122673,36337
HI,138654,47177
IA,91016,32145
ID,79824,35139
IL,133297,38297
IN,102319,35074
KS,129230,34516
KY,93365,33614
LA,118325,32594
MA,89293,41855
MD,47515,44718
ME,76170,35545
MI,89888,36970
MN,112969,42804
MO,114859,34419
MS,128873,35304
MT,72271,31705
NC,94398,37641
ND,59486,32393
NE,124250,38147
NH,96026,38636
NJ,207154,38016
NM,100331,39167
NV,218114,41328
NY,128517,46905
OH,111034,35191
OK,126296,35277
OR,116613,50154
PA,156225,36036
RI,100327,40647
SC,152247,41031
SD,116211,39563
TN,110867,33529
TX,150283,36010
UT,89859,39048
VA,126902,37200
VT,71637,45315
WA,125961,41484
WI,105331,38676
WV,84532,33996
WY,106868,48928
