state,avgCoveredCharges,averagePayments
AL,18395,4238
AR,13769,4061
AZ,20884,4970
CA,37991,6089
CO,21692,4492
CT,17630,5920
DC,18316,6093
DE,11763,5355
FL,21996,4394
GA,15127,4674
IA,13200,4313
ID,16606,4555
IL,19075,4842
IN,14019,4523
KS,16481,4131
KY,13074,4352
LA,16923,4223
MA,11257,5486
MD,7091,6698
ME,11392,4831
MI,13567,5037
MN,15207,5643
MO,15901,4356
MS,15542,4213
MT,11389,4912
NC,14058,5221
ND,11826,4775
NE,16121,4592
NH,16266,5511
NJ,35022,5787
NM,15841,5633
NV,31411,4948
NY,20757,6412
OH,14839,4497
OK,16851,4342
OR,15595,5215
PA,22815,4922
RI,21119,6488
SC,22219,4696
SD,11823,4912
TN,14381,4305
TX,22552,4696
UT,14450,4227
VA,14268,4502
VT,10709,6203
WA,20499,5366
WI,14936,4909
WV,11302,4630
WY,10400,6072
