state,avgCoveredCharges,averagePayments
AK,42952,14678
AL,32088,7699
AR,25256,7865
AZ,39462,9786
CA,66542,12342
CO,41945,9633
CT,30518,11033
DC,38216,12340
DE,24947,10318
FL,42744,8382
GA,30840,8939
HI,32036,12724
IA,25257,8568
ID,26162,10107
IL,33624,9203
IN,27963,8621
KS,33032,8750
KY,24738,8225
LA,31793,8348
MA,20602,9916
MD,12527,11814
ME,21413,9164
MI,24318,9764
MN,29382,10366
MO,29974,8612
MS,29642,8116
MT,23483,9577
NC,25911,9425
ND,23038,10210
NE,31349,9367
NH,26653,9362
NJ,60900,9801
NM,30703,9825
NV,58253,9998
NY,33319,11749
OH,28529,8632
OK,31048,8587
OR,28442,10888
PA,39538,8990
RI,29050,10246
SC,36692,9113
SD,31954,10946
TN,29581,8349
TX,41788,9204
UT,27492,10693
VA,28905,8817
VT,20667,11909
WA,35302,10510
WI,26864,9502
WV,19344,7762
WY,31028,12089
