state,avgCoveredCharges,averagePayments
AK,49620,15952
AL,35078,8682
AR,28268,8662
AZ,38996,10035
CA,70896,13158
CO,42116,9818
CT,34260,12013
DC,38984,13625
DE,25045,10498
FL,46190,9405
GA,31202,9507
HI,33503,12899
IA,25059,8916
ID,22146,9391
IL,36712,10214
IN,27136,9320
KS,35549,9051
KY,26625,9229
LA,34212,9181
MA,20800,11374
MD,13960,13139
ME,22568,10010
MI,25094,10533
MN,29841,10795
MO,30318,9156
MS,32289,8991
MT,19591,9226
NC,23957,10019
ND,18248,9570
NE,32565,9703
NH,25245,9682
NJ,75197,11417
NM,34840,10485
NV,69299,10953
NY,41343,13655
OH,30968,9501
OK,31963,9065
OR,27504,10906
PA,40714,9817
RI,32785,11381
SC,37308,9856
SD,32036,10468
TN,29962,8869
TX,46305,9838
UT,25351,9646
VA,27627,9254
VT,21035,12688
WA,33350,10380
WI,26198,9958
WV,20887,8936
WY,27453,12005
