state,avgCoveredCharges,averagePayments
AK,27417,10988
AL,23715,5864
AR,20408,5982
AZ,28160,7114
CA,46027,8685
CO,27678,6667
CT,23273,8238
DC,27979,8900
DE,19403,7521
FL,32281,6280
GA,22011,6499
HI,21559,9270
IA,17952,6324
ID,16645,6496
IL,26358,7033
IN,20534,6447
KS,23244,6187
KY,18407,6339
LA,23952,6368
MA,17305,8001
MD,9748,9186
ME,15660,6775
MI,18450,7226
MN,20607,7325
MO,21879,6229
MS,22928,6215
MT,14434,6348
NC,17587,6877
ND,12583,6584
NE,20594,6675
NH,19678,6897
NJ,51281,7633
NM,22079,7339
NV,39962,7010
NY,27960,8863
OH,21460,6445
OK,21776,6317
OR,19645,7289
PA,29883,6883
RI,21900,7586
SC,24170,6618
SD,20140,6973
TN,20711,6053
TX,30527,6739
UT,17247,6752
VA,19562,6368
VT,15209,8737
WA,23921,7355
WI,18988,6792
WV,15574,6146
WY,18179,8861
