state,avgCoveredCharges,averagePayments
AK,57532,18016
AL,42284,11496
AR,30257,11988
AZ,60662,15486
CA,95386,17648
CO,68168,14390
CT,39074,17016
DC,85475,18332
DE,32995,14943
FL,68384,13018
GA,47208,13773
HI,52721,17353
IA,39235,12970
ID,36164,13878
IL,59739,16618
IN,54564,13585
KS,52830,12595
KY,43378,13445
LA,51959,12811
MA,38614,17326
MD,24904,23524
ME,33280,15342
MI,34100,14796
MN,43272,16159
MO,46400,13262
MS,41923,12972
MT,35305,13690
NC,47046,14014
ND,31233,14258
NE,46543,13663
NH,38273,15130
NJ,69124,16461
NM,56619,17809
NV,68442,14911
NY,44209,16866
OH,46617,14121
OK,45385,12506
OR,40379,15164
PA,65108,15116
RI,29612,16326
SC,65103,14247
SD,62460,13250
TN,44120,13164
TX,57689,13787
UT,34412,13919
VA,50697,14483
VT,31784,17496
WA,59832,15736
WI,44868,15478
WV,42324,14663
WY,54481,16013
