state,avgCoveredCharges,averagePayments
AK,31890,11149
AL,26316,6718
AR,19156,6658
AZ,31079,8237
CA,50353,9612
CO,30341,7760
CT,24014,9143
DC,31627,10213
DE,19641,8183
FL,36829,7095
GA,23222,7264
HI,23687,10356
IA,18145,6920
ID,18300,7216
IL,28109,7726
IN,21094,7145
KS,26317,7019
KY,19108,7022
LA,23723,7106
MA,16201,8660
MD,10565,9947
ME,17487,7807
MI,18305,8034
MN,21565,8065
MO,24576,7135
MS,25053,6894
MT,15779,7367
NC,19865,7684
ND,14639,7709
NE,24009,7353
NH,21664,7438
NJ,56844,8721
NM,24193,8339
NV,46193,8135
NY,29226,9822
OH,22359,7104
OK,22255,6900
OR,19363,8035
PA,28351,7480
RI,23550,8497
SC,27108,7377
SD,23704,8103
TN,21763,6717
TX,31231,7425
UT,16996,7341
VA,22569,7309
VT,15422,8765
WA,24246,8168
WI,20456,7598
WV,15708,6916
WY,23404,9486
