state,avgCoveredCharges,averagePayments
AK,36672,11116
AL,18511,5256
AR,14611,5531
AZ,15169,8086
CA,24503,8916
CO,13497,5225
CT,19139,8239
DC,14452,9444
DE,15190,7009
FL,20023,7006
GA,14824,6605
HI,16200,8388
IA,10781,5895
ID,14142,5707
IL,14979,7114
IN,13945,5878
KS,13281,5544
KY,11923,5999
LA,22674,5861
MA,15748,7494
MD,11981,11277
ME,15913,6304
MI,15415,6199
MN,30107,8171
MO,14440,5641
MS,18676,5657
MT,11957,5742
NC,13330,6188
NE,22797,6404
NH,14469,6148
NJ,51612,8143
NM,22845,6255
NV,35742,6487
NY,21451,7023
OH,14947,6036
OK,12132,6318
OR,21272,8816
PA,19685,6362
RI,23264,7709
SC,18710,6119
SD,14756,6586
TN,16263,5366
TX,22550,6012
UT,15367,6072
VA,13670,5851
VT,19738,9736
WA,22154,6505
WI,12777,6124
WV,9461,5928
