state,avgCoveredCharges,averagePayments
AK,37233,10006
AL,34278,6780
AR,26002,6751
AZ,39236,7817
CA,55567,9493
CO,30849,7338
CT,25896,9375
DC,27914,8355
DE,20280,8382
FL,48334,7531
GA,32069,7475
HI,23782,8597
IA,28686,7455
ID,23981,7235
IL,36088,8631
IN,27307,7152
KS,31709,6688
KY,23252,7166
LA,31585,7681
MA,20496,9123
MD,10748,10172
ME,20380,7379
MI,23602,7887
MN,25541,8532
MO,29050,7133
MS,28763,7066
MT,21075,7563
NC,24457,7823
ND,17074,7522
NE,27751,7820
NH,21045,8270
NJ,46851,8461
NM,25239,8923
NV,45284,7970
NY,27953,10109
OH,29093,7530
OK,30026,7075
OR,21651,8043
PA,39613,8129
RI,23936,7754
SC,37581,7450
SD,26463,9065
TN,29378,7018
TX,40354,7743
UT,18073,7890
VA,31423,7258
VT,20114,11677
WA,30172,8675
WI,27215,7914
WV,20392,7170
WY,25486,10182
