state,avgCoveredCharges,averagePayments
AL,41181,9214
AR,28850,9293
AZ,44474,10198
CA,68498,12969
CO,47382,10552
CT,37275,13137
DC,36325,12275
DE,23917,11359
FL,47521,9633
GA,34255,9891
HI,52904,16266
IA,28680,9600
ID,22739,10258
IL,39364,10994
IN,26906,9630
KS,41375,9184
KY,28186,9904
LA,30508,9622
MA,26686,12916
MD,12724,11974
ME,26068,10519
MI,25997,11041
MN,39376,13718
MO,32746,9451
MS,28592,9337
MT,23082,9076
NC,25574,10443
ND,25535,9360
NE,35770,9688
NH,28076,9609
NJ,80043,11120
NM,34061,13057
NV,74687,11063
NY,43362,14491
OH,35581,10629
OK,40813,10201
OR,27481,11010
PA,62216,11985
RI,41195,12054
SC,40616,9884
SD,48169,15430
TN,31935,8982
TX,45629,10467
UT,25842,9918
VA,28696,10188
VT,26215,14528
WA,37797,11809
WI,31581,11133
WV,24694,9933
WY,32190,14978
