state,avgCoveredCharges,averagePayments
AL,16733,3992
AR,10806,3956
AZ,19913,4806
CA,33350,5631
CO,20047,4536
CT,18180,5643
DC,16927,5052
DE,10454,5147
FL,21110,4241
GA,14841,4338
HI,17053,6934
IA,11460,4417
ID,11320,4443
IL,16522,4548
IN,12756,4222
KS,16407,4271
KY,11655,4312
LA,15659,4247
MA,10973,5256
MD,6638,6245
ME,10407,4810
MI,12276,5033
MN,14389,5107
MO,13410,4147
MS,15116,4390
MT,10571,4725
NC,12703,4921
ND,9880,4897
NE,13066,4446
NH,13599,4663
NJ,30989,5087
NM,14360,5003
NV,25689,4761
NY,19845,5974
OH,12774,4371
OK,13617,4089
OR,13380,4856
PA,21079,4697
RI,19702,5334
SC,16040,4364
SD,15282,5074
TN,13268,4148
TX,19689,4633
UT,12099,4329
VA,12895,4245
VT,11463,6100
WA,15948,5007
WI,13731,4959
WV,10394,4134
WY,10185,6043
