state,avgCoveredCharges,averagePayments
AK,22659,10570
AL,21029,5674
AR,16636,5641
AZ,27980,6661
CA,46765,8290
CO,26328,6453
CT,20121,7670
DC,25479,8881
DE,15991,7231
FL,32205,6099
GA,20363,6113
HI,24364,9077
IA,16587,5845
ID,14827,6141
IL,24404,6718
IN,18023,6069
KS,21197,5894
KY,17372,5992
LA,22169,5961
MA,12798,7244
MD,9034,8516
ME,14306,6528
MI,16752,6838
MN,16955,6897
MO,19616,6146
MS,21305,5812
MT,13134,6274
NC,16598,6474
ND,11201,6130
NE,22825,6118
NH,16917,6224
NJ,50790,7184
NM,24329,6837
NV,40209,6820
NY,23006,8094
OH,18588,6116
OK,20357,5990
OR,18029,6935
PA,29850,6479
RI,21210,7438
SC,26173,6231
SD,18961,6780
TN,19593,5660
TX,29951,6392
UT,15921,6555
VA,18712,6003
VT,13785,8082
WA,21239,6897
WI,17207,6424
WV,12902,5791
WY,17426,7956
