state,avgCoveredCharges,averagePayments
AK,76820,20804
AL,44549,11495
AR,36200,11292
AZ,52326,13687
CA,89034,17349
CO,53117,13088
CT,45997,15871
DC,54924,17257
DE,32477,14175
FL,58481,12104
GA,37446,12430
HI,40596,16752
IA,36717,12107
ID,27968,12417
IL,48875,14157
IN,38031,12456
KS,44665,11815
KY,34957,12134
LA,40566,11994
MA,32993,15874
MD,19006,17894
ME,37469,17105
MI,32362,14014
MN,41701,15029
MO,41444,12221
MS,38822,12298
MT,18603,11685
NC,32616,13658
ND,24956,12311
NE,35868,12043
NH,36918,13867
NJ,85725,14450
NM,31812,14310
NV,87215,14057
NY,46800,17465
OH,42167,12758
OK,46199,13156
OR,34966,14488
PA,63291,13908
RI,52214,17020
SC,48972,12929
SD,36593,15272
TN,41375,11783
TX,54093,12909
UT,37829,16345
VA,40408,12949
VT,26434,16492
WA,43041,13929
WI,37599,14083
WV,27314,11962
WY,38943,12734
