state,avgCoveredCharges,averagePayments
AK,51772,14948
AL,47070,9624
AR,37617,10039
AZ,54005,12122
CA,83366,14137
CO,46545,10594
CT,41462,14033
DC,63610,14558
DE,28644,12799
FL,63639,10407
GA,42581,11076
IA,37275,10337
ID,29558,11335
IL,47496,11932
IN,38567,11292
KS,46645,10421
KY,32683,10522
LA,42814,10845
MA,32374,14299
MD,13729,12965
ME,27464,11796
MI,32433,11939
MN,35582,12187
MO,36014,10181
MS,35364,9997
MT,23642,11028
NC,35564,11600
ND,22473,10848
NE,36785,11038
NH,35785,12045
NJ,72055,11993
NM,39203,12250
NV,73038,11697
NY,44824,13844
OH,38510,10589
OK,38576,10298
OR,29238,11861
PA,51901,11459
RI,36555,13763
SC,52226,11210
SD,39911,11846
TN,41442,10337
TX,54550,11127
UT,24890,10646
VA,41350,10985
VT,22788,12468
WA,43826,12536
WI,34391,11134
WV,25843,9980
WY,36650,13283
