state,avgCoveredCharges,averagePayments
AK,29478,8798
AL,22804,5453
AR,17370,5570
AZ,26810,6499
CA,44086,8042
CO,26472,6394
CT,22058,7886
DC,25961,8234
DE,15800,6556
FL,30847,5868
GA,20917,5983
HI,20164,8043
IA,16379,5800
ID,17548,5941
IL,23942,6398
IN,20024,5885
KS,23893,5664
KY,16781,5762
LA,21139,5759
MA,15067,7402
MD,8564,8079
ME,14137,6286
MI,16419,6652
MN,18317,6970
MO,20732,5671
MS,20196,5565
MT,13363,5799
NC,16501,6542
ND,10545,6027
NE,17962,6191
NH,17480,6275
NJ,47680,6887
NM,20108,6517
NV,36897,6570
NY,25800,7975
OH,18846,5866
OK,21026,5676
OR,17622,6784
PA,28572,6337
RI,22592,7476
SC,25826,6196
SD,21383,6416
TN,20036,5647
TX,28958,6052
UT,15822,6332
VA,19150,6043
VT,12289,8303
WA,21801,6787
WI,18327,6464
WV,13242,5632
WY,21811,7247
