state,avgCoveredCharges,averagePayments
AK,40857,16240
AL,39677,8661
AR,27906,8725
AZ,44305,10892
CA,68603,12359
CO,40186,9614
CT,35236,12029
DC,42284,12037
DE,27279,11313
FL,50455,9353
GA,36424,9460
HI,34798,16622
IA,30047,9789
ID,26205,9758
IL,38533,10284
IN,33717,9241
KS,29886,9566
KY,30595,9634
LA,35662,9117
MA,31317,12341
MD,14931,14041
ME,22832,10362
MI,27978,10945
MN,28655,10722
MO,31933,9334
MS,32083,9221
MT,23196,9284
NC,29817,10162
ND,24129,9787
NE,29452,9705
NH,28118,10634
NJ,55694,11055
NM,35103,10145
NV,63755,10358
NY,37196,13945
OH,29507,9189
OK,33350,9080
OR,29675,10451
PA,46672,9880
RI,25904,10991
SC,37401,9855
SD,30102,10377
TN,32948,9125
TX,44529,9899
UT,27932,9987
VA,37395,9595
VT,23308,13445
WA,36430,10543
WI,32347,10396
WV,24595,9283
WY,33387,12519
