state,avgCoveredCharges,averagePayments
AK,18825,7702
AL,14849,4065
AR,12527,4040
AZ,20231,4897
CA,32424,5974
CO,19878,4590
CT,16214,5761
DC,19201,6460
DE,13496,5043
FL,22072,4329
GA,14765,4422
HI,17690,6112
IA,12163,4344
ID,11279,4424
IL,17353,4937
IN,13734,4316
KS,15554,4223
KY,12072,4289
LA,13945,4247
MA,11032,5408
MD,7083,6678
ME,11003,4532
MI,11978,4928
MN,13567,4921
MO,14611,4370
MS,14414,4193
MT,10159,4401
NC,13158,4790
ND,9325,4499
NE,14536,4721
NH,13425,4658
NJ,37551,5216
NM,15601,4952
NV,27908,4756
NY,18413,6139
OH,13909,4364
OK,12842,4286
OR,13111,5010
PA,21864,4771
RI,15711,5418
SC,17940,4582
SD,13808,4608
TN,14272,4148
TX,20262,4588
UT,11952,4746
VA,14229,4420
VT,11481,6101
WA,17265,5005
WI,13556,4737
WV,9782,4200
WY,14360,6039
