state,avgCoveredCharges,averagePayments
AK,22958,9535
AL,17582,4975
AR,14876,4890
AZ,20972,6025
CA,36663,7245
CO,22045,5516
CT,17391,6829
DC,20432,7158
DE,13676,6180
FL,25471,5275
GA,17342,5372
HI,20944,7887
IA,13154,5126
ID,14379,5267
IL,18733,5908
IN,16142,5277
KS,17653,5185
KY,13744,5175
LA,17074,5195
MA,11351,6458
MD,7905,7466
ME,14315,5795
MI,13281,5883
MN,15700,5990
MO,16957,5280
MS,17224,5050
MT,11914,5343
NC,13979,5681
ND,10856,5491
NE,15796,5579
NH,13945,5536
NJ,40596,6234
NM,17374,6234
NV,33293,5914
NY,21478,7332
OH,14248,5264
OK,17175,5201
OR,15646,6162
PA,21833,5569
RI,17718,6540
SC,20425,5506
SD,16907,5721
TN,16279,5032
TX,22200,5508
UT,13952,5441
VA,16080,5268
VT,10686,6768
WA,19246,6076
WI,15155,5592
WV,9955,4934
WY,18694,7633
