state,avgCoveredCharges,averagePayments
AK,22887,7829
AL,19442,4702
AR,14719,4754
AZ,24274,5736
CA,38638,6930
CO,25232,5628
CT,20329,6538
DC,26781,7792
DE,14050,5620
FL,25327,5014
GA,19683,5153
HI,21347,7897
IA,14183,5363
ID,18471,5310
IL,20446,5661
IN,15291,5037
KS,21637,4798
KY,15499,5115
LA,17381,4811
MA,14164,6348
MD,7873,7427
ME,12872,5268
MI,13979,5668
MN,18335,5896
MO,17972,4979
MS,19377,4761
MT,12694,4874
NC,16903,5529
ND,10321,5061
NE,17727,5261
NH,17278,6013
NJ,44017,6078
NM,17792,5983
NV,32407,5663
NY,24411,7634
OH,20043,5259
OK,16660,4873
OR,16424,6742
PA,28738,5717
RI,17839,6096
SC,21496,5183
SD,16903,5574
TN,18940,5001
TX,25968,5330
UT,14600,6420
VA,17714,5190
VT,14470,7100
WA,20733,5929
WI,17235,5613
WV,11443,5131
WY,13846,6041
