state,avgCoveredCharges,averagePayments
AK,34805,8402
AL,29855,5857
AR,24697,5933
AZ,33581,7034
CA,54275,8252
CO,33554,6912
CT,20991,8144
DC,44919,9242
DE,21781,7342
FL,38464,6146
GA,25590,6385
HI,27810,10982
IA,22330,6128
ID,18151,6457
IL,32784,7207
IN,26888,6598
KS,21765,5880
KY,22308,6348
LA,31187,6362
MA,24745,8586
MD,8909,8409
ME,14048,7104
MI,21635,7152
MN,24449,7485
MO,24274,6087
MS,23596,6181
MT,18650,6421
NC,22007,7052
ND,13431,6376
NE,17837,6373
NH,23541,7160
NJ,34441,7363
NM,31716,6129
NV,42325,7095
NY,21832,7978
OH,28957,6616
OK,23025,6240
OR,22564,7090
PA,32783,6751
RI,24314,8430
SC,33960,6687
SD,21771,6706
TN,24047,6271
TX,29042,6490
UT,20488,6928
VA,26379,6764
VT,17934,9291
WA,31357,7666
WI,24486,6905
WV,16944,5962
WY,26644,8697
