state,avgCoveredCharges,averagePayments
AL,81845,18188
AR,56786,18793
AZ,90004,21773
CA,155449,27698
CO,98178,21550
CT,64229,25804
DC,81129,24124
DE,51500,23426
FL,98012,20043
GA,74669,20769
IA,53093,18952
ID,49953,20630
IL,81615,21725
IN,66686,20882
KS,72348,20456
KY,63227,21162
LA,60465,20248
MA,56032,26459
MD,31529,29696
ME,45469,20907
MI,58466,22992
MN,58282,23378
MO,63785,19703
MS,68218,21338
MT,45817,20938
NC,61187,22053
ND,50418,20563
NE,64865,21417
NH,62385,24664
NJ,120784,22687
NM,69828,21040
NV,123690,22394
NY,86024,28560
OH,75772,21921
OK,78940,21408
OR,60506,23293
PA,95323,22897
RI,64385,26728
SC,85234,21720
SD,60660,23230
TN,69709,19436
TX,89048,21542
UT,51077,19306
VA,73373,20573
VT,50221,27369
WA,78857,24146
WI,64240,22497
WV,46456,19440
