state,avgCoveredCharges,averagePayments
AK,34459,7134
AL,22240,4763
AR,15160,4855
AZ,25681,5722
CA,42156,6908
CO,26093,5279
CT,20180,6693
DC,21194,7281
DE,13423,6276
FL,27134,5110
GA,21420,5281
HI,23922,7751
IA,15255,5177
ID,13890,5203
IL,21686,5693
IN,17507,5148
KS,21625,4998
KY,15097,5302
LA,18496,5163
MA,13283,6375
MD,7838,7407
ME,12819,5510
MI,15895,5893
MN,18010,6122
MO,18644,5034
MS,19495,5016
MT,13097,5331
NC,16502,5833
ND,11966,5476
NE,18170,5416
NH,16895,5530
NJ,41590,6442
NM,20083,6047
NV,31452,5680
NY,23275,7174
OH,17504,5205
OK,18839,5036
OR,18856,6510
PA,26794,5619
RI,24816,7164
SC,22604,5307
SD,16554,5721
TN,19934,5122
TX,27706,5557
UT,18393,5857
VA,17476,5447
VT,13956,7034
WA,20815,6055
WI,16500,5791
WV,12767,5026
WY,18650,6400
