state,avgCoveredCharges,averagePayments
AK,50600,17778
AL,39805,9770
AR,31360,10155
AZ,41963,11435
CA,72128,14548
CO,49460,11474
CT,36172,13936
DC,40826,15541
DE,30259,12102
FL,48665,10507
GA,32753,10664
HI,35398,14139
IA,30832,10243
ID,26197,11236
IL,41041,11762
IN,30960,10738
KS,38258,10099
KY,28420,10235
LA,34569,10222
MA,22295,12764
MD,16366,15408
ME,26140,11297
MI,27214,11944
MN,35199,12585
MO,33727,10217
MS,35040,10508
MT,25408,10878
NC,26632,11435
ND,21844,10518
NE,37525,11123
NH,29043,11453
NJ,80919,12608
NM,31901,12196
NV,73278,11932
NY,42946,15669
OH,32861,10523
OK,37957,10607
OR,29859,11721
PA,43566,11198
RI,34913,13176
SC,37409,10896
SD,40694,11543
TN,30685,9923
TX,44595,10908
UT,27679,10736
VA,30290,10421
VT,21663,13741
WA,36802,11881
WI,29909,11293
WV,23118,10082
WY,40398,14419
