state,avgCoveredCharges,averagePayments
AL,37568,9920
AR,29425,9794
AZ,49488,12531
CA,76730,15378
CO,50596,10659
CT,40379,14364
DC,53372,14899
DE,35298,14458
FL,48058,11711
GA,39055,11691
HI,27335,14614
IA,27088,10023
ID,27007,11557
IL,39278,11533
IN,31639,10997
KS,34808,10286
KY,31589,11153
LA,46309,11344
MA,27080,13292
MD,20187,19018
ME,25600,11094
MI,27446,12070
MN,32498,14282
MO,36716,10442
MS,35069,9969
MT,20014,10308
NC,25965,11967
ND,23245,11112
NE,33146,10622
NH,35619,13680
NJ,75684,12573
NM,28825,15805
NV,73156,14778
NY,46733,15628
OH,35193,11177
OK,39584,10963
OR,25440,10895
PA,50723,12029
RI,37225,13291
SC,38758,11331
SD,34404,12246
TN,33389,10628
TX,51571,12137
UT,24982,10924
VA,34114,11409
VT,22232,14300
WA,35707,12689
WI,36399,13437
WV,20884,9994
