state,avgCoveredCharges,averagePayments
AL,55660,10124
AR,48325,10231
AZ,64604,12330
CA,97514,14973
CO,59580,11732
CT,49728,15514
DC,59296,14895
DE,48348,13610
FL,74146,11133
GA,46911,11330
HI,49205,17182
IA,41314,10548
ID,40538,10991
IL,60265,12927
IN,46593,11154
KS,60880,11169
KY,41494,10955
LA,61482,11313
MA,46601,16395
MD,15842,14939
ME,35399,12605
MI,39270,12507
MN,44463,12916
MO,50165,11277
MS,51854,10995
MT,41133,11110
NC,51126,12571
ND,38635,11507
NE,59284,12918
NH,48066,13115
NJ,82892,13697
NM,51120,12083
NV,85630,12732
NY,47572,16082
OH,50084,11656
OK,56331,11307
OR,42802,13434
PA,61781,12135
RI,76400,15331
SC,65262,12032
SD,38875,11759
TN,47631,11254
TX,68556,11650
UT,36934,11442
VA,55803,12356
VT,35789,15842
WA,58581,16805
WI,46822,13190
WV,39243,10556
WY,49499,15682
