state,avgCoveredCharges,averagePayments
AK,87011,18597
AL,51450,10624
AR,41216,10280
AZ,75093,13061
CA,102162,16151
CO,82092,13436
CT,60695,16828
DC,57520,14987
DE,44443,13960
FL,78106,12054
GA,52475,12843
HI,32225,15806
IA,46701,12313
ID,32922,11224
IL,62765,14244
IN,54038,11950
KS,57899,11572
KY,44852,11442
LA,62007,12154
MA,62781,17196
MD,22464,21195
ME,37184,12531
MI,38345,13657
MN,57972,13262
MO,57655,11862
MS,44088,11238
MT,37837,12187
NC,58042,14213
ND,36388,11332
NE,50606,12170
NH,62041,14470
NJ,84329,14637
NM,63022,12056
NV,82761,12680
NY,58102,17374
OH,57513,13367
OK,64893,13009
OR,38956,13641
PA,89397,13624
RI,61549,14366
SC,70185,13300
SD,37066,22060
TN,61528,12601
TX,72880,12229
UT,39555,13248
VA,53314,12766
VT,42469,17404
WA,58243,15365
WI,55883,14637
WV,36595,12175
WY,75761,22549
