state,avgCoveredCharges,averagePayments
AK,34448,12877
AL,25372,6829
AR,20478,6847
AZ,32907,8273
CA,58013,10305
CO,31599,7942
CT,25184,9367
DC,31823,10629
DE,19562,8525
FL,39026,7410
GA,25040,7413
HI,30607,11248
IA,19159,7031
ID,19035,7656
IL,30400,8130
IN,22414,7349
KS,26095,7120
KY,20645,7341
LA,30887,7375
MA,16231,8802
MD,11900,11210
ME,18521,8032
MI,20754,8256
MN,20945,8297
MO,25312,7445
MS,26679,7105
MT,15813,7568
NC,20025,7977
ND,13047,7413
NE,29531,7751
NH,19463,7633
NJ,62346,8879
NM,27808,8744
NV,49935,8370
NY,30592,10189
OH,23243,7305
OK,25875,7437
OR,23033,8365
PA,35841,7862
RI,26087,9037
SC,30946,7657
SD,26316,8541
TN,23923,7037
TX,35718,7640
UT,19934,7747
VA,22971,7375
VT,16404,9700
WA,26545,8452
WI,21335,7927
WV,16204,7123
WY,23123,10530
