state,avgCoveredCharges,averagePayments
AK,81206,22205
AL,59371,13986
AR,53930,14403
AZ,68629,16932
CA,124507,21685
CO,89083,17455
CT,64825,21524
DC,77852,21610
DE,46338,19935
FL,79753,15511
GA,59206,16082
HI,55712,24079
IA,54938,16383
ID,31809,16011
IL,72533,18090
IN,59276,16535
KS,59124,15112
KY,53281,16075
LA,74287,15907
MA,57770,22087
MD,22256,20953
ME,38071,17120
MI,50898,18314
MN,59990,17241
MO,55651,15352
MS,52816,15280
MT,46462,15163
NC,52462,17477
ND,35072,15525
NE,53463,15995
NH,55553,18231
NJ,104820,18263
NM,59860,18993
NV,107162,17936
NY,63356,22153
OH,57956,16269
OK,54264,14952
OR,51240,18279
PA,82069,17250
RI,72112,20067
SC,71460,16349
SD,55093,16337
TN,56128,15389
TX,76478,16388
UT,40330,17125
VA,64086,17034
VT,40776,22054
WA,70406,18142
WI,62191,18208
WV,41985,15156
WY,42970,20802
