state,avgCoveredCharges,averagePayments
AK,20938,7435
AL,20203,4263
AR,13440,4330
AZ,24304,4907
CA,37396,6120
CO,22199,4660
CT,18401,5864
DC,19864,6130
DE,14292,5360
FL,27166,4596
GA,19753,4796
HI,19866,6512
IA,14840,4557
ID,12151,4606
IL,21920,5050
IN,16717,4616
KS,21235,4367
KY,16834,4577
LA,19103,4576
MA,13501,5542
MD,6892,6493
ME,12013,4818
MI,13892,5129
MN,16436,5232
MO,18690,4601
MS,19312,4513
MT,11917,4911
NC,15482,4882
ND,11941,5281
NE,17521,4792
NH,15367,4884
NJ,40888,5447
NM,18906,5100
NV,32517,5044
NY,20693,6227
OH,18107,4579
OK,16881,4498
OR,13826,5399
PA,24723,4885
RI,18948,6095
SC,20994,4758
SD,14243,5074
TN,18327,4491
TX,26817,4792
UT,14050,4955
VA,16483,4621
VT,14195,6295
WA,19711,5141
WI,17716,4975
WV,11701,4522
