state,avgCoveredCharges,averagePayments
AK,79674,18814
AL,44327,10733
AR,29117,10557
AZ,50562,12567
CA,83364,15491
CO,53716,12779
CT,38238,14189
DC,54932,16341
DE,31282,12697
FL,56805,11188
GA,40855,11736
HI,39855,16554
IA,30156,10757
ID,27277,10919
IL,44910,12124
IN,34977,11176
KS,44666,11330
KY,32520,11283
LA,43517,11329
MA,24260,13664
MD,18555,17464
ME,25538,12045
MI,30858,12898
MN,34224,12977
MO,38082,11009
MS,38298,11210
MT,27563,11552
NC,31268,12140
ND,24840,11599
NE,37101,11563
NH,31292,12359
NJ,88086,13269
NM,44876,13362
NV,86152,13800
NY,46975,15936
OH,39579,11622
OK,41728,11350
OR,32289,12814
PA,49161,11984
RI,36548,13423
SC,45055,11774
SD,31063,12049
TN,36619,10935
TX,56705,12129
UT,29079,15064
VA,36558,11483
VT,25883,17081
WA,39743,12509
WI,31018,11850
WV,27957,10950
WY,35737,15020
