state,avgCoveredCharges,averagePayments
AK,45742,12942
AL,30801,6349
AR,23818,6292
AZ,39927,7742
CA,62234,9681
CO,35918,7504
CT,32679,9539
DC,34466,9630
DE,27452,8514
FL,42374,6838
GA,28361,7030
HI,28191,10024
IA,24739,6989
ID,23314,7165
IL,33948,7946
IN,27477,6835
KS,30680,6741
KY,24391,6897
LA,32751,7080
MA,26807,9521
MD,10460,10414
ME,17498,7635
MI,24214,8026
MN,29370,8585
MO,27366,6889
MS,29836,6793
MT,21795,7272
NC,25160,7715
ND,19751,7051
NE,29201,7150
NH,27361,7942
NJ,59352,8362
NM,30220,7606
NV,54918,7576
NY,32361,10032
OH,29294,7304
OK,31024,6704
OR,24060,8022
PA,41468,7854
RI,32911,8455
SC,32244,7246
SD,19973,7178
TN,28176,6835
TX,41312,7361
UT,20345,7700
VA,31351,7532
VT,16823,10372
WA,33474,8253
WI,27143,7751
WV,18767,6630
WY,29940,10121
