state,avgCoveredCharges,averagePayments
AK,105432,37784
AL,78769,21268
AR,63821,22610
AZ,98788,28945
CA,154326,32547
CO,130597,28151
CT,72578,31271
DC,111637,33609
DE,50047,26726
FL,111737,24255
GA,87780,26304
HI,57311,33458
IA,66462,24175
ID,71614,26072
IL,97282,29406
IN,98873,28332
KS,79547,23388
KY,88426,26035
LA,90080,25446
MA,62198,31425
MD,40917,38601
ME,51992,26816
MI,59725,26977
MN,79220,28624
MO,86903,25784
MS,62124,24607
MT,72930,25493
NC,85627,26535
ND,66815,24586
NE,81640,25168
NH,75112,28873
NJ,115949,29230
NM,88644,27694
NV,110992,27564
NY,74410,31590
OH,82522,26056
OK,82280,25135
OR,66946,28069
PA,100572,26454
RI,49275,29851
SC,109431,26848
SD,99750,25424
TN,87395,25076
TX,103546,25970
UT,75089,27832
VA,87261,27270
VT,47284,34054
WA,110701,30882
WI,73718,28680
WV,72875,25972
WY,111594,34845
