state,avgCoveredCharges,averagePayments
AK,38210,10425
AL,30868,6910
AR,20225,6732
AZ,34629,8158
CA,55746,9903
CO,33766,7884
CT,27386,9347
DC,30906,10167
DE,21436,8331
FL,39188,7236
GA,27030,7422
HI,22109,10965
IA,22575,7029
ID,24844,7308
IL,30117,7908
IN,24585,7435
KS,30816,7302
KY,23224,7434
LA,27885,7438
MA,18228,8884
MD,9981,9404
ME,17212,7677
MI,21049,8422
MN,22923,8165
MO,25107,7299
MS,26793,7262
MT,20320,7794
NC,23032,7922
ND,16470,7529
NE,27880,7773
NH,22644,8265
NJ,57616,8393
NM,29224,8317
NV,54019,8146
NY,30351,10049
OH,27522,7485
OK,27055,7067
OR,19476,8292
PA,35398,7813
RI,26763,9217
SC,30945,7340
SD,22941,7819
TN,24612,7079
TX,37029,7756
UT,19184,7775
VA,24489,7575
VT,16328,10220
WA,26851,8085
WI,23671,7955
WV,17489,7136
WY,24124,10232
