state,avgCoveredCharges,averagePayments
AL,24207,5958
AR,21525,6105
AZ,31263,7036
CA,49068,8923
CO,29229,7075
CT,22614,8329
DC,25806,9876
DE,15993,7324
FL,37676,6340
GA,23139,6864
IA,21242,7413
ID,19842,6960
IL,28430,7813
IN,23436,7255
KS,28161,6663
KY,19342,6554
LA,25738,6199
MA,17358,8510
MD,9613,9072
ME,15054,6767
MI,18993,7651
MN,22663,7895
MO,22392,6367
MS,20119,6138
MT,16352,7399
NC,18942,7209
ND,13443,6603
NE,20382,8796
NH,18500,7074
NJ,50661,7646
NM,19954,8036
NV,45316,7858
NY,30605,9117
OH,20522,6975
OK,23133,6270
OR,26751,8284
PA,33712,7608
RI,26799,8026
SC,27032,6959
SD,31071,7141
TN,21586,6376
TX,32768,7170
UT,19087,7450
VA,21185,7102
VT,12509,9503
WA,25942,7606
WI,20931,8075
WV,17713,6737
WY,22423,10533
