state,avgCoveredCharges,averagePayments
AK,19374,7746
AL,17920,4243
AR,15315,4305
AZ,22833,5005
CA,36879,6233
CO,21923,4804
CT,17901,6035
DC,19552,6641
DE,14003,5271
FL,27105,4566
GA,17921,4668
HI,17636,6565
IA,14219,4496
ID,13802,4741
IL,19895,5151
IN,16152,4688
KS,18998,4436
KY,13998,4507
LA,17465,4542
MA,12124,5687
MD,7107,6707
ME,12349,4900
MI,13870,5175
MN,15752,5193
MO,17168,4547
MS,16954,4347
MT,11706,4656
NC,14805,5010
ND,10430,4702
NE,17373,4872
NH,15194,4870
NJ,37750,5392
NM,17803,5275
NV,32193,5164
NY,18657,6367
OH,15976,4676
OK,16855,4488
OR,14858,5377
PA,24456,4986
RI,17386,5638
SC,20337,4791
SD,16558,4947
TN,16359,4325
TX,24353,4827
UT,14115,5111
VA,16267,4677
VT,13448,6401
WA,19342,5262
WI,15607,4974
WV,11121,4399
WY,15907,6620
