state,avgCoveredCharges,averagePayments
AK,49778,15317
AL,37673,8521
AR,29919,8721
AZ,38560,10246
CA,70326,12495
CO,36512,9377
CT,31282,11583
DC,41583,13415
DE,25038,10380
FL,49521,9220
GA,32348,9197
HI,35483,12888
IA,24809,8640
ID,22060,9342
IL,39486,9878
IN,28495,9085
KS,35857,9219
KY,25985,9009
LA,39349,9135
MA,20722,11062
MD,14392,13544
ME,23730,9907
MI,24354,10062
MN,26863,10284
MO,31582,8887
MS,34401,8855
MT,20434,9388
NC,25424,9800
ND,18374,9392
NE,35930,9661
NH,24810,9486
NJ,72085,10984
NM,31826,10412
NV,69611,10765
NY,38343,12503
OH,29030,9075
OK,35577,9209
OR,27393,10198
PA,41229,9510
RI,33362,11892
SC,41412,9697
SD,28119,10152
TN,30931,8698
TX,46629,9600
UT,22327,8972
VA,27841,9090
VT,20794,12175
WA,32427,10267
WI,26905,9736
WV,21145,8863
WY,35149,13145
