state,avgCoveredCharges,averagePayments
AK,17779,7968
AL,15375,4278
AR,13025,4289
AZ,21238,5160
CA,35106,6206
CO,18609,4788
CT,15964,5852
DC,19111,6580
DE,11912,5387
FL,23968,4534
GA,15379,4588
HI,20494,7108
IA,12605,4509
ID,10950,4584
IL,17974,5059
IN,13937,4555
KS,16307,4586
KY,13107,4458
LA,15410,4526
MA,9969,5450
MD,6903,6507
ME,10886,4923
MI,12026,5048
MN,13090,5187
MO,15094,4582
MS,16092,4362
MT,10228,4816
NC,13090,4841
ND,9352,4709
NE,18363,4796
NH,13558,4623
NJ,39596,5361
NM,16644,5297
NV,31006,5084
NY,16960,6071
OH,13703,4558
OK,15888,4495
OR,14028,5407
PA,21975,4841
RI,16321,5720
SC,19353,4645
SD,13230,5062
TN,14972,4309
TX,22480,4743
UT,12036,4835
VA,14677,4562
VT,10468,6015
WA,16601,5152
WI,14058,4831
WV,9702,4286
WY,13649,6589
