state,avgCoveredCharges,averagePayments
AL,17043,3712
AR,9700,3700
AZ,22179,4230
CA,32624,5257
CO,20701,4262
CT,14536,5371
DC,18321,5917
DE,12695,4821
FL,23115,4023
GA,17671,4089
IA,13245,3783
IL,19044,4597
IN,14663,4119
KS,15559,3682
KY,13963,4063
LA,16214,4009
MA,11223,4966
MD,5981,5642
ME,11402,4244
MI,13023,4547
MN,15690,4594
MO,15646,3970
MS,16299,3872
MT,11774,3986
NC,14303,4317
NE,15748,4131
NH,14413,4056
NJ,34475,4750
NM,17930,4315
NV,27658,4600
NY,17870,5966
OH,15665,4123
OK,14523,3952
OR,8654,4288
PA,22784,4395
RI,17808,5197
SC,17653,4220
SD,14908,4812
TN,15760,4093
TX,25635,4374
UT,8738,3871
VA,14526,4129
WA,18972,4500
WI,14142,4375
WV,11026,3910
