state,avgCoveredCharges,averagePayments
AL,27268,7579
AR,23537,7555
AZ,29888,8941
CA,59926,10745
CO,30856,8028
CT,29465,10693
DC,25931,10433
DE,22335,9260
FL,37962,7964
GA,27148,7980
IA,19824,7888
ID,21117,7742
IL,27276,8669
IN,23333,7929
KS,28668,7696
KY,20039,7854
LA,25236,7745
MA,17258,9740
MD,11342,10734
ME,16978,8145
MI,20900,8997
MN,23337,8773
MO,24804,7655
MS,21129,7275
MT,15160,7783
NC,19451,9005
ND,14297,8193
NE,23432,8132
NH,19337,8268
NJ,62242,9526
NM,25841,8929
NV,47434,9023
NY,34117,11269
OH,20720,7807
OK,25817,7862
OR,23166,9383
PA,35955,8867
RI,27794,9837
SC,32172,8699
SD,24589,8262
TN,22522,7598
TX,34403,8357
UT,17181,8095
VA,23295,8191
VT,15521,10706
WA,25848,9123
WI,21137,8791
WV,16093,7566
WY,25914,11023
