state,avgCoveredCharges,averagePayments
AK,44103,16841
AL,37503,8677
AR,22441,8489
AZ,37992,10148
CA,70949,12543
CO,40841,9549
CT,28675,11336
DC,33836,11277
DE,23996,11000
FL,46344,9075
GA,30987,9086
HI,33608,12516
IA,21855,8886
ID,22288,8998
IL,34888,9677
IN,26400,8870
KS,28656,8935
KY,25625,9061
LA,35001,8988
MA,20284,10835
MD,12927,12163
ME,20243,9762
MI,23028,10117
MN,25000,10430
MO,29149,8649
MS,31040,8720
MT,17993,8850
NC,22947,9860
ND,16315,9086
NE,32629,9162
NH,24280,9718
NJ,63749,10364
NM,30282,9876
NV,70415,10795
NY,34266,11846
OH,25602,8882
OK,32845,8930
OR,26491,11003
PA,43448,9801
RI,29114,11282
SC,37466,9677
SD,31217,10097
TN,27845,8368
TX,42475,9270
UT,22780,9512
VA,26604,9105
VT,20983,12223
WA,27953,9836
WI,24048,9918
WV,19617,8860
WY,26705,11021
